time_s,time_hrs,Q_in_m3s,reservoir_storage_m3,reservoir_elevation_m,hydraulic_head_m,breach_width_m,breach_invert_m,Q_breach_m3s,cumulative_breach_release_m3,Q_other_m3s,scenario,provenance
0.0,0.0,1106.88,2934169969.3,815.0,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
60.0,0.017,1108.03,2934236410.7,815.002,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
120.0,0.033,1109.17,2934302920.9,815.004,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
180.0,0.05,1110.32,2934369499.8,815.005,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
240.0,0.067,1111.46,2934436147.4,815.007,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
300.0,0.083,1112.61,2934502863.7,815.009,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
360.0,0.1,1113.75,2934569648.7,815.011,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
420.0,0.117,1114.9,2934636502.5,815.012,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
480.0,0.133,1116.04,2934703424.9,815.014,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
540.0,0.15,1117.19,2934770416.1,815.016,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
600.0,0.167,1118.33,2934837476.0,815.018,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
660.0,0.183,1119.48,2934904604.7,815.019,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
720.0,0.2,1120.62,2934971802.0,815.021,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
780.0,0.217,1121.77,2935039068.1,815.023,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
840.0,0.233,1122.91,2935106402.9,815.025,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
900.0,0.25,1124.06,2935173806.4,815.027,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
960.0,0.267,1125.21,2935241278.6,815.028,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
1020.0,0.283,1126.35,2935308819.6,815.03,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
1080.0,0.3,1127.5,2935376429.3,815.032,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
1140.0,0.317,1128.64,2935444107.7,815.034,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
1200.0,0.333,1129.79,2935511854.8,815.035,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
1260.0,0.35,1130.93,2935579670.6,815.037,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
1320.0,0.367,1132.08,2935647555.2,815.039,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
1380.0,0.383,1133.22,2935715508.4,815.041,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
1440.0,0.4,1134.37,2935783530.4,815.043,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
1500.0,0.417,1135.51,2935851621.1,815.044,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
1560.0,0.433,1136.66,2935919780.6,815.046,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
1620.0,0.45,1137.8,2935988008.7,815.048,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
1680.0,0.467,1138.95,2936056305.6,815.05,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
1740.0,0.483,1140.09,2936124671.2,815.052,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
1800.0,0.5,1141.24,2936193105.5,815.053,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
1860.0,0.517,1142.39,2936261608.5,815.055,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
1920.0,0.533,1143.53,2936330180.3,815.057,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
1980.0,0.55,1144.68,2936398820.8,815.059,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
2040.0,0.567,1145.82,2936467530.0,815.061,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
2100.0,0.583,1146.97,2936536307.9,815.063,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
2160.0,0.6,1148.11,2936605154.5,815.064,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_BASE,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_BASE)
