time_s,time_hrs,Q_in_m3s,reservoir_storage_m3,reservoir_elevation_m,hydraulic_head_m,breach_width_m,breach_invert_m,Q_breach_m3s,cumulative_breach_release_m3,Q_other_m3s,scenario,provenance
0.0,0.0,1649.14,3540000000.0,830.0,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_HIGH,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_HIGH)
60.0,0.017,1650.28,3540098977.0,830.002,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_HIGH,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_HIGH)
120.0,0.033,1651.43,3540198022.5,830.005,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_HIGH,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_HIGH)
180.0,0.05,1652.57,3540297136.6,830.007,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_HIGH,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_HIGH)
240.0,0.067,1653.71,3540396319.2,830.009,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_HIGH,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_HIGH)
300.0,0.083,1654.85,3540495570.4,830.012,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_HIGH,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_HIGH)
360.0,0.1,1656.0,3540594890.2,830.014,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_HIGH,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_HIGH)
420.0,0.117,1657.14,3540694278.5,830.016,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_HIGH,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_HIGH)
480.0,0.133,1658.28,3540793735.4,830.018,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_HIGH,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_HIGH)
540.0,0.15,1659.42,3540893260.9,830.021,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_HIGH,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_HIGH)
600.0,0.167,1660.57,3540992854.9,830.023,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_HIGH,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_HIGH)
660.0,0.183,1661.71,3541092517.4,830.025,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_HIGH,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_HIGH)
720.0,0.2,1662.85,3541192248.6,830.028,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_HIGH,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_HIGH)
780.0,0.217,1663.99,3541292048.2,830.03,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_HIGH,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_HIGH)
840.0,0.233,1665.14,3541391916.5,830.032,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_HIGH,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_HIGH)
900.0,0.25,1666.28,3541491853.3,830.035,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_HIGH,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_HIGH)
960.0,0.267,1667.42,3541591858.7,830.037,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_HIGH,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_HIGH)
1020.0,0.283,1668.57,3541691932.6,830.039,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_HIGH,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_HIGH)
1080.0,0.3,1669.71,3541792075.1,830.042,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_HIGH,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_HIGH)
1140.0,0.317,1670.85,3541892286.1,830.044,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_HIGH,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_HIGH)
1200.0,0.333,1671.99,3541992565.7,830.046,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_HIGH,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_HIGH)
1260.0,0.35,1673.14,3542092913.9,830.049,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_HIGH,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_HIGH)
1320.0,0.367,1674.28,3542193330.6,830.051,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_HIGH,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_HIGH)
1380.0,0.383,1675.42,3542293815.9,830.053,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_HIGH,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_HIGH)
1440.0,0.4,1676.56,3542394369.8,830.056,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_HIGH,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_HIGH)
1500.0,0.417,1677.71,3542494992.2,830.058,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_HIGH,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_HIGH)
1560.0,0.433,1678.85,3542595683.1,830.06,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_HIGH,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_HIGH)
1620.0,0.45,1679.99,3542696442.7,830.063,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_HIGH,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_HIGH)
