time_s,time_hrs,Q_in_m3s,reservoir_storage_m3,reservoir_elevation_m,hydraulic_head_m,breach_width_m,breach_invert_m,Q_breach_m3s,cumulative_breach_release_m3,Q_other_m3s,scenario,provenance
0.0,0.0,835.25,925000000.0,740.0,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_LOW,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_LOW)
60.0,0.017,836.07,925050135.6,740.003,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_LOW,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_LOW)
120.0,0.033,836.9,925100320.6,740.006,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_LOW,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_LOW)
180.0,0.05,837.72,925150555.0,740.009,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_LOW,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_LOW)
240.0,0.067,838.54,925200838.7,740.012,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_LOW,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_LOW)
300.0,0.083,839.37,925251171.9,740.015,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_LOW,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_LOW)
360.0,0.1,840.19,925301554.5,740.018,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_LOW,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_LOW)
420.0,0.117,841.01,925351986.5,740.02,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_LOW,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_LOW)
480.0,0.133,841.84,925402467.9,740.023,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_LOW,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_LOW)
540.0,0.15,842.66,925452998.6,740.026,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_LOW,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_LOW)
600.0,0.167,843.48,925503578.8,740.029,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_LOW,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_LOW)
660.0,0.183,844.31,925554208.4,740.032,0.0,0.0,839.5,0.0,0.0,0.0,SCENARIO_LOW,MODELLED OUTFLOW (Simplified Theoretical Breach Benchmark — SCENARIO_LOW)
