burn_depth_m,catchment_area_km2,accumulation_area_km2,bhagirathi_connected,bhilangna_connected,both_tributaries_connected,snapped_lat,snapped_lon,snap_distance_m,iou_hydrobasins_l08,iou_hydrobasins_l10
5.0,2751.48,2748.88,NO,YES,NO,30.36792,78.47958,1130.2,0.3574,0.3651
8.0,2751.48,2748.88,NO,YES,NO,30.36792,78.47958,1130.2,0.3574,0.3651
10.0,2751.48,2748.88,NO,YES,NO,30.36792,78.47958,1130.2,0.3574,0.3651
12.0,2751.48,2748.88,NO,YES,NO,30.36792,78.47958,1130.2,0.3574,0.3651
13.0,2751.48,2748.88,NO,YES,NO,30.36792,78.47958,1130.2,0.3574,0.3651
14.0,7300.3,7315.39,YES,YES,YES,30.36792,78.47958,1130.2,0.9438,0.9643
15.0,7300.3,7315.39,YES,YES,YES,30.36792,78.47958,1130.2,0.9438,0.9643
16.0,7300.3,7315.39,YES,YES,YES,30.36792,78.47958,1130.2,0.9438,0.9643
17.0,7300.3,7315.39,YES,YES,YES,30.36792,78.47958,1130.2,0.9438,0.9643
18.0,7300.3,7315.39,YES,YES,YES,30.36792,78.47958,1130.2,0.9438,0.9643
20.0,75.35,75.13,NO,NO,NO,30.36792,78.47958,1130.2,0.0095,0.0097
25.0,75.41,75.19,NO,NO,NO,30.36792,78.47958,1130.2,0.0095,0.0097
30.0,75.48,75.25,NO,NO,NO,30.36792,78.47958,1130.2,0.0095,0.0097
