timestamp,rainfall_mm,effective_rainfall_mm,quickflow_m3s,baseflow_m3s,bhagirathi_modelled_discharge_m3s,provenance
2024-07-25 00:00:00+00:00,0.005,0.0,0.0,395.69,395.69,CALIBRATED HYDROLOGIC INFLOW (Calibrated against CWC Tekhla gauge)
2024-07-25 01:00:00+00:00,0.104,0.036,0.0,391.53,391.53,CALIBRATED HYDROLOGIC INFLOW (Calibrated against CWC Tekhla gauge)
2024-07-25 02:00:00+00:00,0.142,0.062,0.51,387.49,388.01,CALIBRATED HYDROLOGIC INFLOW (Calibrated against CWC Tekhla gauge)
2024-07-25 03:00:00+00:00,0.267,0.146,1.73,383.62,385.35,CALIBRATED HYDROLOGIC INFLOW (Calibrated against CWC Tekhla gauge)
2024-07-25 04:00:00+00:00,0.303,0.17,4.64,379.86,384.5,CALIBRATED HYDROLOGIC INFLOW (Calibrated against CWC Tekhla gauge)
2024-07-25 05:00:00+00:00,0.43,0.255,9.06,376.25,385.31,CALIBRATED HYDROLOGIC INFLOW (Calibrated against CWC Tekhla gauge)
2024-07-25 06:00:00+00:00,0.29,0.161,15.79,372.67,388.46,CALIBRATED HYDROLOGIC INFLOW (Calibrated against CWC Tekhla gauge)
2024-07-25 07:00:00+00:00,0.213,0.109,22.81,369.16,391.96,CALIBRATED HYDROLOGIC INFLOW (Calibrated against CWC Tekhla gauge)
2024-07-25 08:00:00+00:00,0.158,0.072,29.4,365.71,395.1,CALIBRATED HYDROLOGIC INFLOW (Calibrated against CWC Tekhla gauge)
2024-07-25 09:00:00+00:00,0.243,0.13,35.17,362.38,397.55,CALIBRATED HYDROLOGIC INFLOW (Calibrated against CWC Tekhla gauge)
2024-07-25 10:00:00+00:00,0.174,0.083,41.12,359.12,400.24,CALIBRATED HYDROLOGIC INFLOW (Calibrated against CWC Tekhla gauge)
2024-07-25 11:00:00+00:00,0.667,0.414,46.45,356.15,402.59,CALIBRATED HYDROLOGIC INFLOW (Calibrated against CWC Tekhla gauge)
2024-07-25 12:00:00+00:00,0.404,0.238,55.97,353.14,409.11,CALIBRATED HYDROLOGIC INFLOW (Calibrated against CWC Tekhla gauge)
2024-07-25 13:00:00+00:00,0.064,0.009,65.72,350.06,415.78,CALIBRATED HYDROLOGIC INFLOW (Calibrated against CWC Tekhla gauge)
2024-07-25 14:00:00+00:00,0.064,0.009,72.52,347.07,419.59,CALIBRATED HYDROLOGIC INFLOW (Calibrated against CWC Tekhla gauge)
