timestamp,rainfall_mm,bhilangna_inflow_low_m3s,bhilangna_inflow_base_m3s,bhilangna_inflow_high_m3s,provenance
2024-07-25 00:00:00+00:00,0.066,99.0,158.22,237.17,"MODELLED / DERIVED HYDROLOGIC INFLOW (Transferred parameters, uncalibrated)"
2024-07-25 01:00:00+00:00,2.388,98.66,157.03,235.63,"MODELLED / DERIVED HYDROLOGIC INFLOW (Transferred parameters, uncalibrated)"
2024-07-25 02:00:00+00:00,2.952,100.57,164.95,267.1,"MODELLED / DERIVED HYDROLOGIC INFLOW (Transferred parameters, uncalibrated)"
2024-07-25 03:00:00+00:00,3.423,104.9,180.71,320.56,"MODELLED / DERIVED HYDROLOGIC INFLOW (Transferred parameters, uncalibrated)"
2024-07-25 04:00:00+00:00,2.984,111.43,203.31,390.15,"MODELLED / DERIVED HYDROLOGIC INFLOW (Transferred parameters, uncalibrated)"
2024-07-25 05:00:00+00:00,1.531,119.1,228.43,459.34,"MODELLED / DERIVED HYDROLOGIC INFLOW (Transferred parameters, uncalibrated)"
2024-07-25 06:00:00+00:00,0.653,126.46,249.64,505.95,"MODELLED / DERIVED HYDROLOGIC INFLOW (Transferred parameters, uncalibrated)"
2024-07-25 07:00:00+00:00,1.261,133.07,265.12,527.76,"MODELLED / DERIVED HYDROLOGIC INFLOW (Transferred parameters, uncalibrated)"
2024-07-25 08:00:00+00:00,1.12,139.38,278.77,544.03,"MODELLED / DERIVED HYDROLOGIC INFLOW (Transferred parameters, uncalibrated)"
2024-07-25 09:00:00+00:00,1.603,145.42,290.25,553.25,"MODELLED / DERIVED HYDROLOGIC INFLOW (Transferred parameters, uncalibrated)"
2024-07-25 10:00:00+00:00,1.126,151.41,301.65,564.51,"MODELLED / DERIVED HYDROLOGIC INFLOW (Transferred parameters, uncalibrated)"
2024-07-25 11:00:00+00:00,1.168,156.99,310.82,568.81,"MODELLED / DERIVED HYDROLOGIC INFLOW (Transferred parameters, uncalibrated)"
2024-07-25 12:00:00+00:00,0.972,162.16,318.47,570.01,"MODELLED / DERIVED HYDROLOGIC INFLOW (Transferred parameters, uncalibrated)"
2024-07-25 13:00:00+00:00,0.119,166.59,323.93,566.3,"MODELLED / DERIVED HYDROLOGIC INFLOW (Transferred parameters, uncalibrated)"
2024-07-25 14:00:00+00:00,0.068,169.77,324.59,548.17,"MODELLED / DERIVED HYDROLOGIC INFLOW (Transferred parameters, uncalibrated)"
2024-07-25 15:00:00+00:00,0.294,171.91,321.88,522.96,"MODELLED / DERIVED HYDROLOGIC INFLOW (Transferred parameters, uncalibrated)"
2024-07-25 16:00:00+00:00,0.607,173.39,317.64,497.79,"MODELLED / DERIVED HYDROLOGIC INFLOW (Transferred parameters, uncalibrated)"
2024-07-25 17:00:00+00:00,0.4,174.43,313.35,477.48,"MODELLED / DERIVED HYDROLOGIC INFLOW (Transferred parameters, uncalibrated)"
2024-07-25 18:00:00+00:00,0.516,175.0,308.19,457.31,"MODELLED / DERIVED HYDROLOGIC INFLOW (Transferred parameters, uncalibrated)"
2024-07-25 19:00:00+00:00,0.632,175.26,302.94,439.94,"MODELLED / DERIVED HYDROLOGIC INFLOW (Transferred parameters, uncalibrated)"
2024-07-25 20:00:00+00:00,0.254,175.24,297.99,426.29,"MODELLED / DERIVED HYDROLOGIC INFLOW (Transferred parameters, uncalibrated)"
2024-07-25 21:00:00+00:00,0.142,174.69,291.86,409.88,"MODELLED / DERIVED HYDROLOGIC INFLOW (Transferred parameters, uncalibrated)"
