timestamp,rainfall_mm,lateral_inflow_low_m3s,lateral_inflow_base_m3s,lateral_inflow_high_m3s,provenance
2024-07-25 00:00:00+00:00,0.325,39.85,79.17,118.48,MODELLED / DERIVED LATERAL INFLOW (Ungauged intermediate drainage)
2024-07-25 01:00:00+00:00,0.612,40.38,81.09,127.47,MODELLED / DERIVED LATERAL INFLOW (Ungauged intermediate drainage)
2024-07-25 02:00:00+00:00,0.733,42.04,86.94,147.45,MODELLED / DERIVED LATERAL INFLOW (Ungauged intermediate drainage)
2024-07-25 03:00:00+00:00,0.873,44.8,95.61,172.04,MODELLED / DERIVED LATERAL INFLOW (Ungauged intermediate drainage)
2024-07-25 04:00:00+00:00,1.644,48.88,106.82,199.4,MODELLED / DERIVED LATERAL INFLOW (Ungauged intermediate drainage)
2024-07-25 05:00:00+00:00,2.323,55.77,126.16,248.6,MODELLED / DERIVED LATERAL INFLOW (Ungauged intermediate drainage)
2024-07-25 06:00:00+00:00,2.941,66.22,155.0,319.41,MODELLED / DERIVED LATERAL INFLOW (Ungauged intermediate drainage)
2024-07-25 07:00:00+00:00,3.443,80.52,193.02,407.26,MODELLED / DERIVED LATERAL INFLOW (Ungauged intermediate drainage)
2024-07-25 08:00:00+00:00,3.071,98.21,238.21,504.57,MODELLED / DERIVED LATERAL INFLOW (Ungauged intermediate drainage)
2024-07-25 09:00:00+00:00,1.212,116.37,280.49,579.32,MODELLED / DERIVED LATERAL INFLOW (Ungauged intermediate drainage)
2024-07-25 10:00:00+00:00,0.28,130.05,301.31,577.23,MODELLED / DERIVED LATERAL INFLOW (Ungauged intermediate drainage)
2024-07-25 11:00:00+00:00,0.746,138.37,301.7,521.33,MODELLED / DERIVED LATERAL INFLOW (Ungauged intermediate drainage)
2024-07-25 12:00:00+00:00,0.971,143.75,295.76,469.25,MODELLED / DERIVED LATERAL INFLOW (Ungauged intermediate drainage)
2024-07-25 13:00:00+00:00,0.13,147.04,288.04,430.61,MODELLED / DERIVED LATERAL INFLOW (Ungauged intermediate drainage)
