timestamp,rainfall_bhagirathi_tekhla_mm,rainfall_bhilangna_mm,rainfall_lateral_intermediate_mm,rainfall_source
2024-06-01 00:00:00+00:00,0.0,0.0,0.0,ERA5-LAND HOURLY PRECIPITATION SAMPLED AT NEAREST MODEL-GRID LOCATIONS VIA OPEN-METEO AND SPATIALLY WEIGHTED OVER THE TEHRI CATCHMENT.
2024-06-01 01:00:00+00:00,0.0,0.0,0.0,ERA5-LAND HOURLY PRECIPITATION SAMPLED AT NEAREST MODEL-GRID LOCATIONS VIA OPEN-METEO AND SPATIALLY WEIGHTED OVER THE TEHRI CATCHMENT.
2024-06-01 02:00:00+00:00,0.0,0.0,0.0,ERA5-LAND HOURLY PRECIPITATION SAMPLED AT NEAREST MODEL-GRID LOCATIONS VIA OPEN-METEO AND SPATIALLY WEIGHTED OVER THE TEHRI CATCHMENT.
2024-06-01 03:00:00+00:00,0.0,0.0,0.0,ERA5-LAND HOURLY PRECIPITATION SAMPLED AT NEAREST MODEL-GRID LOCATIONS VIA OPEN-METEO AND SPATIALLY WEIGHTED OVER THE TEHRI CATCHMENT.
2024-06-01 04:00:00+00:00,0.0,0.0,0.0,ERA5-LAND HOURLY PRECIPITATION SAMPLED AT NEAREST MODEL-GRID LOCATIONS VIA OPEN-METEO AND SPATIALLY WEIGHTED OVER THE TEHRI CATCHMENT.
2024-06-01 05:00:00+00:00,0.0,0.0,0.0,ERA5-LAND HOURLY PRECIPITATION SAMPLED AT NEAREST MODEL-GRID LOCATIONS VIA OPEN-METEO AND SPATIALLY WEIGHTED OVER THE TEHRI CATCHMENT.
2024-06-01 06:00:00+00:00,0.0,0.0,0.0,ERA5-LAND HOURLY PRECIPITATION SAMPLED AT NEAREST MODEL-GRID LOCATIONS VIA OPEN-METEO AND SPATIALLY WEIGHTED OVER THE TEHRI CATCHMENT.
2024-06-01 07:00:00+00:00,0.004,0.004,0.001,ERA5-LAND HOURLY PRECIPITATION SAMPLED AT NEAREST MODEL-GRID LOCATIONS VIA OPEN-METEO AND SPATIALLY WEIGHTED OVER THE TEHRI CATCHMENT.
2024-06-01 08:00:00+00:00,0.009,0.029,0.005,ERA5-LAND HOURLY PRECIPITATION SAMPLED AT NEAREST MODEL-GRID LOCATIONS VIA OPEN-METEO AND SPATIALLY WEIGHTED OVER THE TEHRI CATCHMENT.
2024-06-01 09:00:00+00:00,0.032,0.056,0.007,ERA5-LAND HOURLY PRECIPITATION SAMPLED AT NEAREST MODEL-GRID LOCATIONS VIA OPEN-METEO AND SPATIALLY WEIGHTED OVER THE TEHRI CATCHMENT.
2024-06-01 10:00:00+00:00,0.037,0.048,0.005,ERA5-LAND HOURLY PRECIPITATION SAMPLED AT NEAREST MODEL-GRID LOCATIONS VIA OPEN-METEO AND SPATIALLY WEIGHTED OVER THE TEHRI CATCHMENT.
2024-06-01 11:00:00+00:00,0.021,0.029,0.003,ERA5-LAND HOURLY PRECIPITATION SAMPLED AT NEAREST MODEL-GRID LOCATIONS VIA OPEN-METEO AND SPATIALLY WEIGHTED OVER THE TEHRI CATCHMENT.
2024-06-01 12:00:00+00:00,0.024,0.064,0.007,ERA5-LAND HOURLY PRECIPITATION SAMPLED AT NEAREST MODEL-GRID LOCATIONS VIA OPEN-METEO AND SPATIALLY WEIGHTED OVER THE TEHRI CATCHMENT.
