timestamp,tekhla_observed_discharge_m3s,station,role,source
2024-07-25 00:00:00+00:00,635.985,Tekhla,UPSTREAM OBSERVATION / PARTIAL INFLOW CALIBRATION CANDIDATE,CWC Uttarakhand Telemetry Archive (Hourly Mean Resampled)
2024-07-25 01:00:00+00:00,611.875,Tekhla,UPSTREAM OBSERVATION / PARTIAL INFLOW CALIBRATION CANDIDATE,CWC Uttarakhand Telemetry Archive (Hourly Mean Resampled)
2024-07-25 02:00:00+00:00,653.8425,Tekhla,UPSTREAM OBSERVATION / PARTIAL INFLOW CALIBRATION CANDIDATE,CWC Uttarakhand Telemetry Archive (Hourly Mean Resampled)
2024-07-25 03:00:00+00:00,677.9066666666666,Tekhla,UPSTREAM OBSERVATION / PARTIAL INFLOW CALIBRATION CANDIDATE,CWC Uttarakhand Telemetry Archive (Hourly Mean Resampled)
2024-07-25 04:00:00+00:00,677.0175,Tekhla,UPSTREAM OBSERVATION / PARTIAL INFLOW CALIBRATION CANDIDATE,CWC Uttarakhand Telemetry Archive (Hourly Mean Resampled)
2024-07-25 05:00:00+00:00,595.5475,Tekhla,UPSTREAM OBSERVATION / PARTIAL INFLOW CALIBRATION CANDIDATE,CWC Uttarakhand Telemetry Archive (Hourly Mean Resampled)
2024-07-25 06:00:00+00:00,559.3,Tekhla,UPSTREAM OBSERVATION / PARTIAL INFLOW CALIBRATION CANDIDATE,CWC Uttarakhand Telemetry Archive (Hourly Mean Resampled)
2024-07-25 07:00:00+00:00,559.3,Tekhla,UPSTREAM OBSERVATION / PARTIAL INFLOW CALIBRATION CANDIDATE,CWC Uttarakhand Telemetry Archive (Hourly Mean Resampled)
2024-07-25 08:00:00+00:00,559.3,Tekhla,UPSTREAM OBSERVATION / PARTIAL INFLOW CALIBRATION CANDIDATE,CWC Uttarakhand Telemetry Archive (Hourly Mean Resampled)
2024-07-25 09:00:00+00:00,559.3,Tekhla,UPSTREAM OBSERVATION / PARTIAL INFLOW CALIBRATION CANDIDATE,CWC Uttarakhand Telemetry Archive (Hourly Mean Resampled)
2024-07-25 10:00:00+00:00,559.3,Tekhla,UPSTREAM OBSERVATION / PARTIAL INFLOW CALIBRATION CANDIDATE,CWC Uttarakhand Telemetry Archive (Hourly Mean Resampled)
2024-07-25 11:00:00+00:00,559.3,Tekhla,UPSTREAM OBSERVATION / PARTIAL INFLOW CALIBRATION CANDIDATE,CWC Uttarakhand Telemetry Archive (Hourly Mean Resampled)
2024-07-25 12:00:00+00:00,559.3,Tekhla,UPSTREAM OBSERVATION / PARTIAL INFLOW CALIBRATION CANDIDATE,CWC Uttarakhand Telemetry Archive (Hourly Mean Resampled)
2024-07-25 13:00:00+00:00,559.3,Tekhla,UPSTREAM OBSERVATION / PARTIAL INFLOW CALIBRATION CANDIDATE,CWC Uttarakhand Telemetry Archive (Hourly Mean Resampled)
2024-07-25 14:00:00+00:00,559.3,Tekhla,UPSTREAM OBSERVATION / PARTIAL INFLOW CALIBRATION CANDIDATE,CWC Uttarakhand Telemetry Archive (Hourly Mean Resampled)
2024-07-25 15:00:00+00:00,559.3,Tekhla,UPSTREAM OBSERVATION / PARTIAL INFLOW CALIBRATION CANDIDATE,CWC Uttarakhand Telemetry Archive (Hourly Mean Resampled)
2024-07-25 16:00:00+00:00,559.3,Tekhla,UPSTREAM OBSERVATION / PARTIAL INFLOW CALIBRATION CANDIDATE,CWC Uttarakhand Telemetry Archive (Hourly Mean Resampled)
2024-07-25 17:00:00+00:00,559.3,Tekhla,UPSTREAM OBSERVATION / PARTIAL INFLOW CALIBRATION CANDIDATE,CWC Uttarakhand Telemetry Archive (Hourly Mean Resampled)
2024-07-25 18:00:00+00:00,559.3,Tekhla,UPSTREAM OBSERVATION / PARTIAL INFLOW CALIBRATION CANDIDATE,CWC Uttarakhand Telemetry Archive (Hourly Mean Resampled)
