station_name,agency,station_type,latitude,longitude,spatial_classification,distance_to_catchment_km,record_count,start_date,end_date,dominant_interval,primary_role
Dharchula,NWDP / IMD,RAINFALL_GAUGE,29.88,80.54,OUTSIDE_CATCHMENT,168.7,164,2022-07-24,2024-10-15,Daily (08:30 IST / 03:00 UTC),REGIONAL_CLIMATE_REFERENCE
I.D. Srinagar Garhwal,NWDP / IMD,RAINFALL_GAUGE,30.21393056,78.75806667,NEAR_CATCHMENT,14.7,300,2022-10-12,2024-09-26,Daily (08:30 IST / 03:00 UTC),REGIONAL_CLIMATE_REFERENCE
ID Lohaghat,NWDP / IMD,RAINFALL_GAUGE,28.99611111,80.10861111,OUTSIDE_CATCHMENT,206.7,2,2023-06-30,2024-06-20,Daily (08:30 IST / 03:00 UTC),REGIONAL_CLIMATE_REFERENCE
ID Uttarkashi,NWDP / IMD,RAINFALL_GAUGE,30.73111111,78.4275,IN_CATCHMENT,0.0,3,2024-06-29,2024-07-03,Daily (08:30 IST / 03:00 UTC),INFLOW_RAINFALL_VALIDATION
Karnaprayag (P),CWC (Central Water Commission),DISCHARGE_GAUGE,30.2525,79.22138889,NEAR_CATCHMENT,44.1,90212,2023-06-07,2026-08-08,15-minute telemetry,ALAKNANDA_BASIN_HYDROLOGIC_REFERENCE
Kheri_5,CWC (Central Water Commission),DISCHARGE_GAUGE,29.6057,79.0927,OUTSIDE_CATCHMENT,87.7,28938,2023-06-07,2024-08-27,15-minute telemetry,RAMGANGA_BASIN_OBSERVATION
Koteshwar,CWC (Central Water Commission),DISCHARGE_GAUGE,30.26527778,78.50333333,DOWNSTREAM_OF_DAM,9.5,89118,2023-04-11,2026-08-08,15-minute telemetry,DAM_TAILRACE_OUTFLOW_VALIDATION (Bhagirathi below Tehri Dam)
Lambagarh,CWC (Central Water Commission),DISCHARGE_GAUGE,30.66472222,79.5175,NEAR_CATCHMENT,27.2,85946,2023-06-19,2026-08-08,15-minute telemetry,ALAKNANDA_BASIN_HYDROLOGIC_REFERENCE
Marchula_1,CWC (Central Water Commission),DISCHARGE_GAUGE,29.60611111,79.09277778,OUTSIDE_CATCHMENT,87.7,93359,2022-08-04,2026-08-30,15-minute telemetry,RAMGANGA_BASIN_OBSERVATION
Rudraprayag_3,CWC (Central Water Commission),DISCHARGE_GAUGE,30.276288,78.964854,NEAR_CATCHMENT,16.7,12911,2023-07-22,2024-11-21,15-minute telemetry,ALAKNANDA_BASIN_HYDROLOGIC_REFERENCE
Tekhla,CWC (Central Water Commission),DISCHARGE_GAUGE,30.74805556,78.45333333,IN_CATCHMENT,0.0,63474,2024-03-07,2026-08-29,15-minute telemetry,INFLOW_CALIBRATION_CANDIDATE (Upper Bhagirathi at Uttarkashi)
