canonical_osm_id,name,facility_type,raw_amenity_tag,raw_healthcare_tag,geometry_type,latitude,longitude,corridor_distance_km,corridor_relevance,source,provenance
node/7127949291,Baurari District Hospital,hospital,hospital,,Point,30.38033,78.43709,4.62,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/7127949320,"Government Hospital, Chamba",hospital,hospital,,Point,30.35173,78.39315,9.63,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/7127949332,"Government Hospital, Nakot",hospital,hospital,,Point,30.31666,78.46742,3.49,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/7486360402,Masiha Hospital,hospital,hospital,,Point,30.35126,78.38961,10.0,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/7486360440,Hatwal Eye Clinic,clinic,clinic,,Point,30.37976,78.43811,4.51,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/7486360458,A B Physiotherpy Centre,clinic,clinic,,Point,30.3824,78.4396,4.37,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/7486360460,Max Hospital,hospital,hospital,,Point,30.38282,78.44215,4.11,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/7486360476,Amba Clinic,clinic,clinic,,Point,30.34531,78.39247,9.91,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/8268833450,"Government Hospital, Madannegi",hospital,hospital,,Point,30.40263,78.49276,2.87,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/8269148141,"Government Hospital, Bhagirathi Puram",hospital,hospital,,Point,30.37923,78.47087,1.07,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/3663758312,Dr. Usha's Nirvana Clinic,clinic,clinic,clinic,Point,30.12816,78.32177,3.15,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/3663758313,Dr. Arora's Clinic,clinic,clinic,clinic,Point,30.12821,78.32242,3.15,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/4383828294,Unnamed Medical Facility,clinic,clinic,clinic,Point,30.12396,78.32992,2.55,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/8238940546,"Government Hospital, Sabdarkhal",hospital,hospital,,Point,30.13143,78.63867,4.54,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/11438148469,Rautela,pharmacy,pharmacy,,Point,30.12304,78.3277,2.5,IN_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/13148900084,Nawan medicosi,pharmacy,pharmacy,pharmacy,Point,30.13216,78.32023,3.6,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
node/13152055855,Ayushwaan Multi Speciality Hospital,hospital,hospital,hospital,Point,30.12788,78.32048,3.15,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
way/276374940,Laxman Jhula Governement Hospital,hospital,hospital,hospital,Polygon,30.12882,78.3315,3.01,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Unverified Operational Status)
