canonical_osm_id,name,place_type,geometry_type,latitude,longitude,corridor_distance_km,corridor_relevance,source,provenance
node/245770131,New Tehri,town,Point,30.37445,78.43277,5.08,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/342110743,Sunari,village,Point,30.43076,78.58109,11.88,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/342110754,Chaundana,village,Point,30.4184,78.58521,11.62,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/342110764,Nanua,village,Point,30.40466,78.59482,11.88,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/342110774,Gadolia,village,Point,30.37033,78.57422,8.73,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/342111422,Sain,village,Point,30.41565,78.59757,12.62,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/342113072,Ratnogad,village,Point,30.44204,78.38224,12.36,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/342113081,Aleru,village,Point,30.44677,78.39527,11.54,OUTSIDE_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/342113107,Malla Uppu,village,Point,30.44812,78.42392,9.49,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/342113116,Sirai,village,Point,30.43074,78.42817,7.84,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
node/342113127,Kandikhal (002),hamlet,Point,30.43592,78.40599,9.95,NEAR_CORRIDOR,OpenStreetMap contributors (ODbL),OPENSTREETMAP FEATURE (Precomputed Settlement Centroid)
