time_prototype_s,Q_prototype_m3s,time_model_s,Q_model_m3s,V_inlet_model_ms
167200.0,687297.27,0.0,6.8729727,1.8986112430939226
167201.0,687297.27,0.1,6.8729727,1.8986112430939226
167202.0,687297.27,0.2,6.8729727,1.8986112430939226
167203.0,687297.27,0.3,6.8729727,1.8986112430939226
167204.0,687297.27,0.4,6.8729727,1.8986112430939226
167205.0,687297.27,0.5,6.8729727,1.8986112430939226
167206.0,687297.27,0.6,6.8729727,1.8986112430939226
167207.0,687297.27,0.7,6.8729727,1.8986112430939226
167208.0,687297.27,0.8,6.8729727,1.8986112430939226
167209.0,687297.27,0.9,6.8729727,1.8986112430939226
167210.0,687297.27,1.0,6.8729727,1.8986112430939226
167211.0,687297.27,1.1,6.8729727,1.8986112430939226
167212.0,687297.27,1.2,6.8729727,1.8986112430939226
167213.0,687297.27,1.3,6.8729727,1.8986112430939226
167214.0,687297.27,1.4,6.8729727,1.8986112430939226
167215.0,687297.27,1.5,6.8729727,1.8986112430939226
167216.0,687297.27,1.6,6.8729727,1.8986112430939226
167217.0,687297.27,1.7,6.8729727,1.8986112430939226
167218.0,687297.27,1.8,6.8729727,1.8986112430939226
167219.0,687297.27,1.9,6.8729727,1.8986112430939226
167220.0,687297.27,2.0,6.8729727,1.8986112430939226
167221.0,687441.4435,2.1,6.874414435,1.8990095124309392
167222.0,687585.617,2.2,6.87585617,1.8994077817679555
167223.0,687729.7905,2.3,6.877297905,1.8998060511049724
167224.0,687873.964,2.4,6.87873964,1.900204320441989
167225.0,688018.1375000001,2.5,6.880181375,1.9006025897790055
167226.0,688162.311,2.6,6.88162311,1.901000859116022
167227.0,688306.4845,2.7,6.883064845,1.9013991284530385
167228.0,688450.658,2.8,6.884506580000001,1.9017973977900555
167229.0,688594.8315,2.9,6.885948314999999,1.9021956671270717
167230.0,688739.005,3.0,6.8873900500000005,1.9025939364640885
167231.0,688883.1785,3.1,6.888831785000001,1.902992205801105
167232.0,689027.3520000001,3.2,6.890273520000001,1.9033904751381217
167233.0,689171.5255,3.3,6.891715255,1.9037887444751382
167234.0,689315.699,3.4,6.8931569900000005,1.9041870138121548
167235.0,689459.8725,3.5,6.894598725000001,1.9045852831491714
167236.0,689604.046,3.6,6.89604046,1.9049835524861878
167237.0,689748.2195,3.7,6.897482195,1.9053818218232044
167238.0,689892.393,3.8,6.8989239300000005,1.9057800911602212
167239.0,690036.5665000001,3.9,6.900365665000001,1.9061783604972378
167240.0,690180.74,4.0,6.9018074,1.9065766298342541
167241.0,690324.9135,4.1,6.903249135,1.9069748991712707
167242.0,690469.087,4.2,6.9046908700000005,1.9073731685082873
167243.0,690613.2605,4.3,6.906132605,1.9077714378453037
167244.0,690757.434,4.4,6.90757434,1.9081697071823205
167245.0,690901.6075,4.5,6.909016075,1.908567976519337
167246.0,691045.7810000001,4.6,6.9104578100000005,1.9089662458563537
167247.0,691189.9545,4.7,6.911899545,1.90936451519337
167248.0,691334.128,4.8,6.91334128,1.9097627845303866
167249.0,691478.3015000001,4.9,6.914783015,1.9101610538674034
167250.0,691622.475,5.0,6.91622475,1.9105593232044198
167251.0,691766.6485,5.1,6.917666485,1.9109575925414364
167252.0,691910.822,5.2,6.91910822,1.911355861878453
167253.0,692054.9955000001,5.3,6.920549955000001,1.9117541312154698
167254.0,692199.169,5.4,6.92199169,1.912152400552486
167255.0,692343.3425,5.5,6.923433425000001,1.912550669889503
167256.0,692487.5160000001,5.6,6.924875160000001,1.9129489392265195
167257.0,692631.6895000001,5.7,6.926316895000001,1.9133472085635361
167258.0,692775.863,5.8,6.9277586300000005,1.9137454779005525
167259.0,692920.0365,5.9,6.929200365000001,1.9141437472375693
167260.0,693064.2100000001,6.0,6.930642100000001,1.914542016574586
167261.0,693208.3835,6.1,6.932083835,1.9149402859116023
167262.0,693352.557,6.2,6.9335255700000005,1.9153385552486188
167263.0,693496.7305000001,6.3,6.934967305000001,1.9157368245856354
167264.0,693640.9040000001,6.4,6.936409040000001,1.916135093922652
167265.0,693785.0775,6.5,6.937850775,1.9165333632596686
167266.0,693929.251,6.6,6.9392925100000005,1.9169316325966852
167267.0,694073.4245000001,6.7,6.940734245000001,1.9173299019337018
167268.0,694217.598,6.8,6.94217598,1.9177281712707182
167269.0,694361.7715,6.9,6.943617715,1.9181264406077347
167270.0,694505.9450000001,7.0,6.9450594500000005,1.9185247099447515
167271.0,694650.1185000001,7.1,6.946501185000001,1.9189229792817681
167272.0,694794.292,7.2,6.94794292,1.9193212486187845
167273.0,694938.4655,7.3,6.949384655,1.919719517955801
167274.0,695082.6390000001,7.4,6.9508263900000005,1.9201177872928177
167275.0,695226.8125,7.5,6.952268125,1.920516056629834
167276.0,695370.986,7.6,6.95370986,1.9209143259668509
167277.0,695515.1595000001,7.7,6.955151595,1.9213125953038674
167278.0,695659.3330000001,7.8,6.956593330000001,1.9217108646408843
167279.0,695803.5065,7.9,6.958035065,1.9221091339779004
167280.0,695947.68,8.0,6.959476800000001,1.9225074033149174
167281.0,696073.0455,8.1,6.960730455,1.9228537168508286
167282.0,696198.4110000001,8.2,6.96198411,1.9232000303867405
167283.0,696323.7765,8.3,6.963237765000001,1.9235463439226521
167284.0,696449.142,8.4,6.96449142,1.9238926574585635
167285.0,696574.5075000001,8.5,6.965745075000001,1.9242389709944754
167286.0,696699.873,8.6,6.96699873,1.9245852845303868
167287.0,696825.2385000001,8.7,6.968252385000001,1.9249315980662987
167288.0,696950.604,8.8,6.969506040000001,1.92527791160221
167289.0,697075.9695,8.9,6.970759695,1.9256242251381215
167290.0,697201.3350000001,9.0,6.972013350000001,1.9259705386740333
167291.0,697326.7005,9.1,6.973267005,1.9263168522099448
167292.0,697452.066,9.2,6.97452066,1.9266631657458562
167293.0,697577.4315000001,9.3,6.975774315000001,1.927009479281768
167294.0,697702.797,9.4,6.97702797,1.9273557928176794
167295.0,697828.1625000001,9.5,6.978281625000001,1.9277021063535913
167296.0,697953.528,9.6,6.97953528,1.9280484198895027
167297.0,698078.8935,9.7,6.980788935,1.9283947334254141
167298.0,698204.2590000001,9.8,6.982042590000001,1.9287410469613262
167299.0,698329.6245,9.9,6.983296245,1.9290873604972376
167300.0,698454.99,10.0,6.9845499,1.9294336740331492
167301.0,698580.3555000001,10.1,6.985803555,1.9297799875690609
