time_s,Q_out_m3s
0.0,0.0
2.0,0.0
4.0,0.0
6.0,0.0
8.0,0.4375
10.0,1.458333333333333
12.0,2.541666666666666
14.0,3.0
16.0,2.916666666666666
18.0,2.3125
20.0,1.333333333333333
22.0,0.3125
24.0,0.0
26.0,0.02083333333333333
28.0,0.33333333333333326
30.0,0.4375
32.0,0.6666666666666665
34.0,0.4375
36.0,0.2708333333333333
38.0,0.10416666666666669
40.0,0.04166666666666666
42.0,0.125
44.0,0.0
46.0,0.1875
48.0,0.0
50.0,0.4375
52.0,0.6666666666666665
54.0,0.9375
56.0,0.7083333333333335
58.0,0.41666666666666674
60.0,0.7291666666666665
62.0,0.6875
64.0,0.6875
66.0,0.22916666666666663
68.0,0.16666666666666663
70.0,0.08333333333333331
72.0,0.0
74.0,0.0
76.0,0.0
78.0,0.0
80.0,0.09375
