Part;TimeStep [s];Steps;DTsMin;PartRuntime [s];NpSave;NpSim;NpNew;NpOut;NctSim;NpAlloc [X];NctAlloc [X];SimRuntime [s];NpbSim;NpfSim;NpNormal;NpOutPos;NpOutRho;NpOutMov;DtMin [s];DtMax [s];MemCPU [MiB];MemGPU [MiB];MemGPU_Cells [MiB];NpAlloc;NctAlloc
0;0;0;0;0.000000;6,096;6,096;36;0;48;1.032808;35.729167;0.000000;6,060;36;6,096;0;0;0;0;0;0.953484;0.000000;0.000000;6,296;1,715
1;2.000705797493032;1,237;0;2.288918;6,151;6,151;72;17;84;1.048122;20.416667;2.288924;6,060;91;6,151;17;0;0;0.0008277680978335529;0.001922544351989127;1.012362;0.000000;0.000000;6,447;1,715
2;4.000956383241346;1,417;0;2.957029;6,191;6,191;63;23;160;1.041350;10.718750;5.250823;6,060;131;6,191;23;0;0;0.0006341527762703188;0.001864947248071626;1.012362;0.000000;0.000000;6,447;1,715
3;6.000687443461405;1,643;0;3.656247;6,242;6,242;72;21;192;1.032842;8.932292;8.910050;6,060;182;6,242;21;0;0;0.000522888809658819;0.001842801787316743;1.012362;0.000000;0.000000;6,447;1,715
4;8.000712678110549;1,596;47;3.984720;6,292;6,292;72;22;240;1.048156;7.145833;12.897965;6,060;232;6,292;22;0;0;0.0004887886739966145;0.001800615183501074;1.028876;0.000000;0.000000;6,595;1,715
5;10.00123164275072;1,776;234;4.453456;6,329;6,329;63;26;272;1.042029;6.305147;17.355040;6,060;269;6,329;26;0;0;0.0004887886739966145;0.001777242003612623;1.028876;0.000000;0.000000;6,595;1,715
6;12.00008023171999;1,772;180;4.835491;6,377;6,377;72;24;320;1.034185;5.359375;22.193892;6,060;317;6,377;24;0;0;0.0004887886739966145;0.001789475243456672;1.046145;0.000000;0.000000;6,595;1,715
7;14.00113710189162;2,041;330;5.318446;6,427;6,427;72;22;368;1.026140;4.660326;27.519761;6,060;367;6,427;22;0;0;0.0004887886739966145;0.001760767906745382;1.046145;0.000000;0.000000;6,595;1,715
8;16.00000469445125;2,003;303;5.004991;6,482;6,482;72;17;416;1.040420;4.122596;32.528304;6,060;422;6,482;17;0;0;0.0004887886739966145;0.001789980573643306;1.062771;0.000000;0.000000;6,744;1,715
9;18.00007773847331;2,165;241;6.464716;6,524;6,524;63;21;464;1.033722;3.696121;38.996328;6,060;464;6,524;21;0;0;0.0004887886739966145;0.001733828396211014;1.062771;0.000000;0.000000;6,744;1,715
10;20.00062230753653;2,068;232;6.041623;6,558;6,558;72;38;496;1.028362;3.457661;45.041828;6,060;498;6,558;38;0;0;0.0004887886739966145;0.001738916043220638;1.062771;0.000000;0.000000;6,744;1,715
11;22.00069520821796;1,985;60;5.455674;6,561;6,561;72;69;496;1.027892;3.457661;50.500976;6,060;501;6,561;69;0;0;0.0004887886739966145;0.001817458509685053;1.062771;0.000000;0.000000;6,744;1,715
12;24.00030154357113;2,130;132;6.154610;6,563;6,563;72;70;496;1.027579;3.457661;56.658960;6,060;503;6,563;70;0;0;0.0004887886739966145;0.001760968274176214;1.062771;0.000000;0.000000;6,744;1,715
13;26.00022996624865;2,050;98;5.628442;6,574;6,574;72;61;480;1.048677;3.572917;62.290892;6,060;514;6,574;61;0;0;0.0004887886739966145;0.001743740463217921;1.079508;0.000000;0.000000;6,894;1,715
14;28.00006860342841;1,970;0;6.600285;6,587;6,587;72;59;496;1.046607;3.457661;68.894559;6,060;527;6,587;59;0;0;0.000503413677035181;0.001775280535267027;1.079508;0.000000;0.000000;6,894;1,715
15;30.00032977608794;1,919;19;6.300958;6,596;6,596;72;63;480;1.045179;3.572917;75.198996;6,060;536;6,596;63;0;0;0.0004887886739966145;0.001786504942755137;1.079508;0.000000;0.000000;6,894;1,715
16;32.00123542136256;1,743;0;5.800959;6,606;6,606;72;62;496;1.043597;3.457661;81.003634;6,060;546;6,606;62;0;0;0.0005148610417310767;0.001788487691730535;1.079508;0.000000;0.000000;6,894;1,715
17;34.00104462056919;1,807;0;5.808282;6,604;6,604;63;65;480;1.043913;3.572917;86.815338;6,060;544;6,604;65;0;0;0.0005474449511592545;0.001771593325655484;1.079508;0.000000;0.000000;6,894;1,715
18;36.00123478086038;1,826;0;5.869499;6,611;6,611;72;65;512;1.042807;3.349609;92.688302;6,060;551;6,611;65;0;0;0.0005546368340654232;0.001773049760525812;1.079508;0.000000;0.000000;6,894;1,715
19;38.00093250130618;1,757;0;6.014447;6,613;6,613;72;70;512;1.042492;3.349609;98.706012;6,060;553;6,613;70;0;0;0.0006104088017968181;0.001782967775513841;1.079508;0.000000;0.000000;6,894;1,715
20;40.0010685988459;1,675;0;5.484714;6,624;6,624;72;61;464;1.040761;3.696121;104.194009;6,060;564;6,624;61;0;0;0.0006715984486368408;0.001786048466953692;1.079508;0.000000;0.000000;6,894;1,715
