SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Reservoir water level (m)
1,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,01-01-1990 13:30,13.228320
2,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,02-01-1990 13:30,13.228320
3,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,03-01-1990 13:30,13.228320
4,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,04-01-1990 13:30,13.228320
5,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,05-01-1990 13:30,13.197840
6,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,06-01-1990 13:30,13.197840
7,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,07-01-1990 13:30,13.167360
8,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,08-01-1990 13:30,13.167360
9,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,09-01-1990 13:30,13.167360
10,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,10-01-1990 13:30,13.136880
11,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,11-01-1990 13:30,13.106400
12,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,12-01-1990 13:30,13.045440
13,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,13-01-1990 13:30,12.984480
14,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,14-01-1990 13:30,12.923520
15,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,15-01-1990 13:30,12.862560
16,BHIMTAL,Uttarakhand,5,Uttarakhand,51,Nainital,Nainital,-,-,Ganga,Ganga,Ramganga,Bhakhra,-,Bhakhra,29.34529444,79.56057500,16-01-1990 13:30,12.801600
